cluster,best_resolution
0,0.8999999999999999
1,1.1999999999999995
2,1.1
3,1.0
4,1.1
5,1.2999999999999998
6,1.1999999999999995
7,1.0
8,1.0
9,0.8999999999999999
10,0.8999999999999999
11,1.0
12,1.4
13,1.1999999999999995
14,0.8999999999999999
15,1.1
16,1.0
17,0.7999999999999999
18,0.7
19,0.7
20,0.6
21,1.0
22,1.0
23,1.0
24,1.0
25,0.7
26,0.5
27,0.8999999999999999
28,0.8999999999999999
29,1.2999999999999998
30,1.1
31,1.4
32,1.0
33,2.0999999999999996
